time,sm_root_10cm,sm_tree_above,temp_root_10cm,temp_tree_above
2026-02-21 04:05:00,0.243,0.319,5.6,14.8
2026-02-21 04:10:00,0.243,0.318,5.6,15.0
2026-02-21 04:15:00,0.243,0.318,5.6,15.1
2026-02-21 04:20:00,0.243,0.318,5.6,15.2
2026-02-21 04:25:00,0.243,0.318,5.6,15.1
2026-02-21 04:30:00,0.243,0.318,5.6,15.2
2026-02-21 04:35:00,0.243,0.318,5.7,15.3
2026-02-21 04:40:00,0.243,0.318,5.7,15.3
2026-02-21 04:45:00,0.243,0.318,5.7,15.4
2026-02-21 04:50:00,0.243,0.318,5.7,15.4
2026-02-21 04:55:00,0.243,0.318,5.7,15.5
2026-02-21 05:00:00,0.243,0.318,5.7,15.6
2026-02-21 05:05:00,0.243,0.318,5.7,16.0
2026-02-21 05:10:00,0.243,0.318,5.7,16.2
2026-02-21 05:15:00,0.243,0.318,5.7,16.5
2026-02-21 05:20:00,0.243,0.318,5.7,16.9
2026-02-21 05:25:00,0.242,0.318,5.8,16.9
2026-02-21 05:30:00,0.243,0.318,5.8,16.6
2026-02-21 05:35:00,0.243,0.318,5.8,16.3
2026-02-21 05:40:00,0.242,0.318,5.8,16.1
2026-02-21 05:45:00,0.242,0.318,5.8,16.0
2026-02-21 05:50:00,0.242,0.318,5.8,15.8
2026-02-21 05:55:00,0.242,0.318,5.8,15.9
2026-02-21 06:00:00,0.242,0.318,5.8,15.9
2026-02-21 06:05:00,0.242,0.318,5.9,15.9
2026-02-21 06:10:00,0.243,0.318,5.9,15.8
2026-02-21 06:15:00,0.243,0.318,5.9,15.9
2026-02-21 06:20:00,0.242,0.318,5.9,16.0
2026-02-21 06:25:00,0.242,0.318,5.9,16.0
2026-02-21 06:30:00,0.242,0.318,5.9,16.1
2026-02-21 06:35:00,0.242,0.318,5.9,16.2
2026-02-21 06:40:00,0.242,0.318,6.0,16.1
2026-02-21 06:45:00,0.242,0.318,6.0,15.9
2026-02-21 06:50:00,0.242,0.318,6.0,15.9
2026-02-21 06:55:00,0.242,0.318,6.0,15.8
2026-02-21 07:00:00,0.242,0.318,6.0,15.8
2026-02-21 07:05:00,0.242,0.318,6.0,15.8
2026-02-21 07:10:00,0.242,0.318,6.0,15.8
2026-02-21 07:15:00,0.242,0.318,6.1,15.7
2026-02-21 07:20:00,0.242,0.317,6.1,15.6
2026-02-21 07:25:00,0.242,0.317,6.1,15.5
2026-02-21 07:30:00,0.242,0.318,6.1,15.4
2026-02-21 07:35:00,0.242,0.318,6.1,15.3
2026-02-21 07:40:00,0.242,0.318,6.1,15.2
2026-02-21 07:45:00,0.242,0.318,6.1,15.1
2026-02-21 07:50:00,0.242,0.318,6.2,15.1
2026-02-21 07:55:00,0.242,0.318,6.2,15.1
2026-02-21 08:00:00,0.242,0.318,6.2,15.1
2026-02-21 08:05:00,0.242,0.318,6.2,15.0
2026-02-21 08:10:00,0.242,0.318,6.2,14.8
2026-02-21 08:15:00,0.242,0.318,6.2,14.8
2026-02-21 08:20:00,0.242,0.318,6.2,14.6
2026-02-21 08:25:00,0.242,0.318,6.3,14.5
2026-02-21 08:30:00,0.242,0.318,6.3,14.4
2026-02-21 08:35:00,0.242,0.318,6.3,14.3
2026-02-21 08:40:00,0.242,0.318,6.3,14.2
2026-02-21 08:45:00,0.242,0.318,6.3,14.1
2026-02-21 08:50:00,0.242,0.318,6.3,14.0
2026-02-21 08:55:00,0.242,0.318,6.3,13.9
2026-02-21 09:00:00,0.242,0.318,6.3,13.7
2026-02-21 09:05:00,0.242,0.318,6.4,13.6
2026-02-21 09:10:00,0.242,0.318,6.4,13.5
2026-02-21 09:15:00,0.242,0.318,6.4,13.4
2026-02-21 09:20:00,0.242,0.319,6.4,13.2
2026-02-21 09:25:00,0.242,0.319,6.4,13.1
2026-02-21 09:30:00,0.242,0.319,6.4,13.0
2026-02-21 09:35:00,0.242,0.319,6.4,13.0
2026-02-21 09:40:00,0.242,0.319,6.4,12.8
2026-02-21 09:45:00,0.242,0.319,6.4,12.7
2026-02-21 09:50:00,0.242,0.319,6.5,12.7
