date,time,source,product,file,n,s,e,w,resolution_m,description
2025-12-07,20:46:10,nisar,hv,HP_SAT_HV_20251207_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2025-12-07,20:46:10,nisar,lia,HP_SAT_LIA_20251207_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2025-12-07,20:46:10,nisar,sm,HP_SAT_SM_20251207_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2025-12-11,13:00:00,modis,lst,HP_SAT_LST_20251211_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-12-12,02:20:09,hls,ndvi,HP_SAT_NDVI_20251212_0220.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-13,10:26:43,nisar,gist_sm,HP_SAT_GIST_SM_20251213_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2025-12-13,10:26:43,nisar,hh,HP_SAT_HH_20251213_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2025-12-13,10:26:43,nisar,hv,HP_SAT_HV_20251213_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2025-12-13,10:26:43,nisar,lia,HP_SAT_LIA_20251213_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2025-12-13,10:26:43,nisar,sm,HP_SAT_SM_20251213_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2025-12-15,02:05:56,landsat,lst,HP_SAT_LST_20251215_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-12-15,02:05:56,hls,ndvi,HP_SAT_NDVI_20251215_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-19,00:00:00,modis,ndvi,HP_SAT_NDVI_20251219_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-12-19,02:21:31,hls,ndvi,HP_SAT_NDVI_20251219_0221.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-19,13:00:00,modis,lst,HP_SAT_LST_20251219_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-12-19,20:46:11,nisar,gist_sm,HP_SAT_GIST_SM_20251219_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2025-12-19,20:46:11,nisar,hh,HP_SAT_HH_20251219_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2025-12-19,20:46:11,nisar,hv,HP_SAT_HV_20251219_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2025-12-19,20:46:11,nisar,lia,HP_SAT_LIA_20251219_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2025-12-19,20:46:11,nisar,sm,HP_SAT_SM_20251219_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2025-12-22,02:11:42,hls,ndvi,HP_SAT_NDVI_20251222_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-22,02:12:06,landsat,lst,HP_SAT_LST_20251222_0212.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-12-22,02:20:19,hls,ndvi,HP_SAT_NDVI_20251222_0220.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-25,10:26:44,nisar,gist_sm,HP_SAT_GIST_SM_20251225_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2025-12-25,10:26:44,nisar,hh,HP_SAT_HH_20251225_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2025-12-25,10:26:44,nisar,hv,HP_SAT_HV_20251225_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2025-12-25,10:26:44,nisar,lia,HP_SAT_LIA_20251225_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2025-12-25,10:26:44,nisar,sm,HP_SAT_SM_20251225_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2025-12-27,02:21:21,hls,ndvi,HP_SAT_NDVI_20251227_0221.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-27,13:00:00,modis,lst,HP_SAT_LST_20251227_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-12-30,02:11:51,hls,ndvi,HP_SAT_NDVI_20251230_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-30,02:12:15,landsat,lst,HP_SAT_LST_20251230_0212.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-12-31,20:46:11,nisar,gist_sm,HP_SAT_GIST_SM_20251231_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2025-12-31,20:46:11,nisar,hh,HP_SAT_HH_20251231_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2025-12-31,20:46:11,nisar,hv,HP_SAT_HV_20251231_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2025-12-31,20:46:11,nisar,lia,HP_SAT_LIA_20251231_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2025-12-31,20:46:11,nisar,sm,HP_SAT_SM_20251231_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2026-01-01,00:00:00,modis,ndvi,HP_SAT_NDVI_20260101_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2026-01-01,13:00:00,modis,lst,HP_SAT_LST_20260101_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-01-06,02:21:11,hls,ndvi,HP_SAT_NDVI_20260106_0221.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-06,10:26:44,nisar,gist_sm,HP_SAT_GIST_SM_20260106_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2026-01-06,10:26:44,nisar,hh,HP_SAT_HH_20260106_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2026-01-06,10:26:44,nisar,hv,HP_SAT_HV_20260106_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2026-01-06,10:26:44,nisar,lia,HP_SAT_LIA_20260106_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2026-01-06,10:26:44,nisar,sm,HP_SAT_SM_20260106_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2026-01-08,02:05:58,landsat,lst,HP_SAT_LST_20260108_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-01-08,02:05:58,hls,ndvi,HP_SAT_NDVI_20260108_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-08,02:21:41,hls,ndvi,HP_SAT_NDVI_20260108_0221.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-09,13:00:00,modis,lst,HP_SAT_LST_20260109_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-01-12,20:46:12,nisar,gist_sm,HP_SAT_GIST_SM_20260112_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2026-01-12,20:46:12,nisar,hh,HP_SAT_HH_20260112_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2026-01-12,20:46:12,nisar,hv,HP_SAT_HV_20260112_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2026-01-12,20:46:12,nisar,lia,HP_SAT_LIA_20260112_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2026-01-12,20:46:12,nisar,sm,HP_SAT_SM_20260112_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2026-01-15,02:11:46,hls,ndvi,HP_SAT_NDVI_20260115_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-15,02:12:10,landsat,lst,HP_SAT_LST_20260115_0212.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-01-16,02:05:48,landsat,lst,HP_SAT_LST_20260116_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-01-16,02:05:48,hls,ndvi,HP_SAT_NDVI_20260116_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-16,02:20:31,hls,ndvi,HP_SAT_NDVI_20260116_0220.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-17,00:00:00,modis,ndvi,HP_SAT_NDVI_20260117_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
